"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Aikawa S.; Kobayashi K.; Asami M.; Kawakami K.; Nakata K.","Aikawa, Shuhei (59561133400); Kobayashi, Ken (57195236365); Asami, Masahiro (59985038800); Kawakami, Kosuke (57239803500); Nakata, Kazuhide (55165964200)","59561133400; 57195236365; 59985038800; 57239803500; 55165964200","Bid Optimization for Search Advertising in Non-stationary Environment","2027","Lecture Notes in Computer Science","16603 LNCS","","","125","137","0","10.1007/978-981-92-2014-4_11","https://www.scopus.com/pages/publications/105045925549?origin=resultslist","To achieve high performance in search advertising campaigns, it is crucial to set the bid value appropriately. However, optimal bidding is challenging due to the high uncertainty in ad performance, which is influenced by various factors besides the bid value. In this paper, we classify the influence on the performance into three types: stationary factors, non-stationary deterministic factors, and non-stationary non-deterministic factors. Considering that these factors change the campaign environment, we propose a heuristic optimization algorithm that constructs a prediction model for each known campaign environment and utilizes past results directly to determine the optimal bid value. The proposed method allows for applying different Cost-Per-Click (CPC) constraints specific to each campaign environment, in addition to the overall campaign CPC constraint. We validated the effectiveness of the proposed method using a simulator and demonstrated that it achieves a large number of ad clicks within the constraints in the non-stationary environment. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2027.","Bid optimization; Non-stationary environment; Search advertising","Heuristic algorithms; Information systems; Information use; Intelligent systems; Optimization; Advertizing; Advertizing campaigns; Bid optimizations; Deterministics; Non-stationary environment; Nonstationary; Optimal bidding; Performance; Search advertizing; Uncertainty; Marketing","Conference paper","Final","","Scopus","2-s2.0-105045925549"
"Ren M.; Zhao H.","Ren, Mengxin (59460531600); Zhao, Hanrui (58107805500)","59460531600; 58107805500","Formal Safety Verification for Nonlinear Systems with Generative Barrier Certificate","2027","Lecture Notes in Computer Science","16655 LNCS","","","245","256","0","10.1007/978-981-92-3438-7_21","https://www.scopus.com/pages/publications/105046161402?origin=resultslist","Barrier certificates (BCs) are a formal tool for safety verification, but their synthesis is computationally expensive. We propose a generate-and-verify framework that fine-tunes an LLM to produce symbolic BC candidates for nonlinear polynomial systems, and then validates them through SOS/LMI feasibility checks. The LLM improves candidate discovery, while the verifier preserves correctness. Experiments show higher efficiency than BMI solving and stronger high-dimensional scalability than a neural BC baseline. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2027.","Formal Verification,Barrier Certificate; Generative Artificial Intelligence; Large Language Model","Artificial intelligence; Computation theory; Nonlinear systems; Polynomials; Safety engineering; Barrier certificates; Formal safety; Formal tools; Formal verification,barrier certificate; Generative artificial intelligence; Higher efficiency; Language model; Large language model; Nonlinear polynomial systems; Safety verification; Formal verification","Conference paper","Final","","Scopus","2-s2.0-105046161402"
"Biedma P.; Yi X.; Huang L.; Sun M.; Xie X.","Biedma, Pablo (59123565300); Yi, Xiaoyuan (57191162256); Huang, Linus (55492576400); Sun, Maosong (7403180987); Xie, Xing (57221820833)","59123565300; 57191162256; 55492576400; 7403180987; 57221820833","ValueLex: Revealing the Value Structures of Large Language Models","2027","Communications in Computer and Information Science","2909 CCIS","","","64","77","0","10.1007/978-981-95-9877-9_6","https://www.scopus.com/pages/publications/105043135856?origin=resultslist","Recent advancements in Large Language Models (LLMs) have transformed the role of AI, but also raised potential concerns. Understanding the value structures of LLMs becomes crucial for assessing and mitigating their risks. While prior studies have examined LLMs through the lens of human value systems from the social sciences, these approaches remain anthropocentric and limited in scope, prompting a central question: What kinds of value structures emerge intrinsically within LLMs, and what governs their formation? To explore this, we introduce ValueLex. Grounded in the Lexical Hypothesis, ValueLex employs a generative approach to elicit diverse values from over thirty LLMs and synthesize a taxonomy via factor analysis and semantic clustering. We identify three core value dimensions: Competence, Character, and Integrity, each with specific subdimensions, revealing that LLMs have indeed learned a structured value system distinct from that of humans during training. Based on this system, we develop projective tests to evaluate different LLMs and analyze the factors shaping their value structures. Our work provides a systematic approach to uncovering LLM value formation, offering new insights for alignment and safety research. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2027.","AI Safety; Evaluation Metrics; Large Language Models; Psychometrics; Responsible AI; Value Alignment; Value Evaluation; Value Systems","Artificial intelligence; Safety engineering; Semantics; Value engineering; AI safety; Evaluation metrics; Language model; Large language model; Psychometric; Responsible AI; Through the lens; Value alignment; Value evaluations; Value systems; Risk assessment","Conference paper","Final","","Scopus","2-s2.0-105043135856"
"Liu Z.; Peng L.; Li Z.; Xu K.; Liu X.; Yu J.","Liu, Zhilong (60038628700); Peng, Long (59004936000); Li, Zhuo (59258350900); Xu, Kui (60771669500); Liu, Xiaodong (56733794300); Yu, Jie (57209187003)","60038628700; 59004936000; 59258350900; 60771669500; 56733794300; 57209187003","Efficient 4-bit Quantized Inference for LLMs on RISC-V via RVV-Based GGUF Weight Layout Reconfiguration","2027","Lecture Notes in Computer Science","16646 LNCS","","","306","317","0","10.1007/978-981-92-3394-6_26","https://www.scopus.com/pages/publications/105046385934?origin=resultslist","The rapid growth of artificial intelligence (AI) has increased the computational demands of neural inference. Deploying large language models (LLMs) on edge devices remains challenging because of limited compute capability and energy efficiency, making low-bit quantization important for reducing memory and computation costs. To address the performance bottleneck of 4-bit GGUF models on RISC-V, this paper proposes an efficient inference method that combines weight layout reorganization with an RVV-optimized matrix multiplication kernel. The method improves memory access continuity and vector parallelism without changing model architecture or accuracy. Experiments based on llama.cpp are conducted on the Banana Pi BPI-F3 platform (SpacemiT K1, RVV 1.0) using Qwen2–0.5B, Gemma2-2B, and LLaMA3-8B, showing consistent throughput improvements in both Prefill and Decode stages, with up to 4.4x and 3.5x speedup, respectively. Ablation results further show that the optimized GEMV kernel achieves 2.0x-2.5x speedup. These results demonstrate the effectiveness of the proposed method for efficient quantized LLM inference on RISC-V edge platforms. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2027.","Edge AI; Large Language Models; Quantized Inference; RISC-V; Vector Extension","Artificial intelligence; Computational efficiency; Green computing; Memory architecture; Systems analysis; Computational demands; Edge artificial intelligence; Energy; Language model; Large language model; Quantisation; Quantized inference; Rapid growth; RISC-V; Vector extension; Energy efficiency","Conference paper","Final","","Scopus","2-s2.0-105046385934"
"Aguilera T.; Álvarez F.J.","Aguilera, Teodoro (36083944900); Álvarez, Fernando J. (56705759800)","36083944900; 56705759800","Accurate speed and range estimation from dual hyperbolic frequency modulated signals","2027","Signal Processing","250","","110791","","","0","10.1016/j.sigpro.2026.110791","https://www.scopus.com/pages/publications/105043151199?origin=resultslist","Accurate speed and range estimation is critical in modern radar and sonar systems operating under challenging conditions such as high target velocities, low Signal-to-Noise Ratios (SNRs), and Doppler-induced distortions. Traditional linear frequency-modulated (LFM) signals suffer from range-Doppler coupling and reduced correlation performance when subjected to substantial Doppler shifts. This paper presents a comprehensive analytical and simulation-based study of Dual Hyperbolic Frequency-Modulated (DHFM) signals, which combine upward and downward frequency sweeps to enable simultaneous and decoupled estimation of target speed and range. We derive closed-form expressions for the matched filter response of DHFM waveforms under Doppler scaling and develop explicit formulas for speed and range extraction from the time separation of correlation peaks.Through extensive software simulations of an airborne sonar system, we systematically evaluate the impact of three key parameters: the sweep rate (k), Signal-to-Noise Ratio (SNR), and propagation-induced attenuation. Our results demonstrate that speed estimation errors drop below 0.05 m/s for k > 5000 across target speeds of up to 100 m/s, while range estimation remains below 0.2 m accuracy even at SNR levels as low as -15 dB. Distance attenuation analysis under ISO 9613-1 atmospheric absorption models shows that both estimators remain robust up to 200 m range with moderate k values. The findings establish DHFM signals as a superior alternative to conventional LFM waveforms for applications requiring high-accuracy parameter estimation in Doppler-sensitive environments, with particular relevance to airborne and underwater sonar systems. © 2026 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/","Doppler effect; Dual hyperbolic frequency modulation (DHFM); Matched filter; Radar systems; Range estimation; Sonar systems; Speed estimation","Chirp modulation; Classifiers; Computer software; Doppler effect; Frequency estimation; Frequency modulation; Radar signal processing; Radar target recognition; Range finders; Signal analysis; Signal receivers; Signal to noise ratio; Sonar; Underwater acoustics; Condition; Doppler; Dual hyperbolic frequency modulation; Frequency modulated signal; Noise ratio; Range estimation; Signal to noise; Sonar system; Speed estimation; Target speed; Matched filters","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105043151199"
"Kumar A.; Sharma S.; Mitra R.","Kumar, Archit (59658682300); Sharma, Shilpi (56449660100); Mitra, Reshmi (57207571541)","59658682300; 56449660100; 57207571541","Leveraging Artificial Intelligence for Proactive Insider Threat Mitigation in Cybersecurity","2027","Communications in Computer and Information Science","2907 CCIS","","","522","530","0","10.1007/978-3-032-29003-8_33","https://www.scopus.com/pages/publications/105042280031?origin=resultslist","Insider threats come from people who have authorized access, hence they are harder to detect using traditional rule-based systems. This makes them one of the toughest cybersecurity challenges. This study investigates artificial intelligence (AI) and machine learning (ML) to create a more flexible framework. The study also discusses Explainable AI (XAI) methods, which helps analysts understand anomalies better by giving clear human-readable explanations. The suggested hybrid model combines anomaly detection and behavioral analytics to instantly find suspicious user activity and to learn typical behavioral patterns, it uses supervised and unsupervised techniques like auto-encoders and Isolation Forests classifiers. Hybrid learning models improve detection accuracy, lower false positives, and adjust to changing conditions. The proposed model is evaluated on the CERT Insider Threat Dataset (CMU-SEI), which simulates realistic insider behaviours. This research contributes to creating proactive, transparent, and intelligent defense mechanisms, shifting cybersecurity from a reactive approach to a preventive and adaptive strategy for protecting critical digital infrastructures. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Artificial Intelligence; Behavioral analytics; Cybersecurity; Insider threat detection; Machine learning","Anomaly detection; Behavioral research; Classification (of information); Cybersecurity; Network security; Pattern recognition; Unsupervised learning; Artificial intelligence learning; Behavioral analytic; Cyber security; Flexible framework; Human-readable; Insider Threat; Insider threat detections; Machine-learning; Rules based systems; Threats mitigations; Learning systems","Conference paper","Final","","Scopus","2-s2.0-105042280031"
"Thomas D.R.; Borchers C.; Vanacore K.P.; Koedinger K.R.; Kizilcec R.F.","Thomas, Danielle R. (58126296700); Borchers, Conrad (57224723719); Vanacore, Kirk P. (57222734972); Koedinger, Kenneth R. (6603678234); Kizilcec, René F. (55657281000)","58126296700; 57224723719; 57222734972; 6603678234; 55657281000","Modernizing Ground Truth: Four Shifts Toward Improving Reliability and Validity in AI in Education","2027","Lecture Notes in Computer Science","16586 LNAI","","","117","131","0","10.1007/978-3-032-29773-0_9","https://www.scopus.com/pages/publications/105043982861?origin=resultslist","Generative Artificial Intelligence (GenAI) is now widespread in education, yet the efficacy of GenAI systems remains constrained by the quality and interpretation of the labeled data used to train and evaluate them. Studies commonly report inter-rater reliability (IRR), often summarized by a single coefficient such as Cohen’s kappa (κ), as a gatekeeper to “ground truth.” We argue that many educational assessment and practice support settings include challenges, such as high-inference constructs, skewed label distributions, and temporally segmented multimodal data, which yield potential misapplication or misinterpretation of threshold-based heuristics for IRR. The growing use of large language models as annotators and judges introduces risks such as automation bias and circular validation. We propose four practical shifts for establishing ground truth: (1) treat IRR as a diagnostic signal to localize disagreement and refine constructs rather than a mechanical acceptance threshold (e.g., κ > 0.8); (2) require transparent reporting of rater expertise, codebook development, reconciliation procedures, and segmentation rules; (3) mitigate risks in LLM annotation through bias audits and verification workflows; and (4) complement agreement statistics with validity and effectiveness evidence for the intended use, including uncertainty-aware labeling (e.g., assigning different labels to the same item to capture nuance), criterion-related checks (e.g., predictive tests to check if labels forecast the intended outcome), and close-the-loop evaluations of whether systems trained on these labels improve learning beyond a reasonable control. We illustrate these shifts through case studies of multimodal tutoring data and provide actionable recommendations toward strengthening the evidence base of labeled AIED datasets. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Annotation; Generative AI; Model evaluation; Reliability","Acceptance tests; Artificial intelligence; Computer aided instruction; Labeled data; Learning systems; Risk assessment; Teaching; Annotation; Artificial intelligence systems; Educational assessment; Generative AI; Ground truth; Interrater reliability; Labeled data; Model evaluation; Multi-modal; Reliability and validity; Reliability","Conference paper","Final","","Scopus","2-s2.0-105043982861"
"Luca Focsan C.; Abijuru Kamikazi M.C.; Thompson T.; St. John J.; Vanacore K.P.; Thomas D.R.; Koedinger K.R.; Kizilcec R.F.","Luca Focsan, Corina (60727005700); Abijuru Kamikazi, Marie Cynthia (60727147400); Thompson, Tamisha (59756849900); St. John, Jennifer (59756850000); Vanacore, Kirk P. (57222734972); Thomas, Danielle R. (58126296700); Koedinger, Kenneth R. (6603678234); Kizilcec, René F. (55657281000)","60727005700; 60727147400; 59756849900; 59756850000; 57222734972; 58126296700; 6603678234; 55657281000","Does the TalkMoves Codebook Generalize to One-on-One Tutoring and Multimodal Interaction?","2027","Lecture Notes in Computer Science","16585 LNAI","","","162","171","0","10.1007/978-3-032-29770-9_19","https://www.scopus.com/pages/publications/105043981771?origin=resultslist","Accountable Talk theory has been widely adopted to analyze classroom discourse and is increasingly used to annotate tutoring interactions. In particular, the TalkMoves codebook, grounded in Accountable Talk theory, is commonly used to label tutoring data and train models of effective instructional support. However, Accountable Talk was originally developed to characterize collaborative, whole-classroom oral discourse, not identify talk moves in one-on-one tutoring environments using multimodal data (e.g., video, audio, chat). As tutoring platforms expand in scale and modality, questions remain about whether Accountable Talk-based codebooks generalize reliably beyond their original classroom context and data representation. This study examines whether the human-developed TalkMoves codebook generalizes in reliability, utility, and interpretability when applied to one-on-one tutoring across audio, chat, and multimodal data. We compare TalkMoves with a hybrid AI-human developed codebook using a workflow established in prior research. Two expert annotators with over 20 years of teaching experience applied both codebooks to six tutoring sessions spanning three modalities: chat-based, audio-only, and multimodal interactions. Results show that while TalkMoves achieved higher overall inter-rater reliability than the AI-human codebook (κ = 0.74 vs. 0.64), the AI-human codebook demonstrated broader empirical coverage and higher perceived usability across modalities. Both codebooks undercaptured tutoring-relevant moves and introduced ambiguity when identifying actions expressed through non-verbal and multimodal artifacts. Together, these findings highlight the uneven generalizability of TalkMoves to tutoring contexts and motivate the development of modality-aware, tutoring-grounded codebooks. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Accountable Talk Theory; Large Language Models; Multimodal Interaction Data; Qualitative Methods; Tutoring Dialogue Analysis","Artificial intelligence; Chatbots; Computer aided instruction; Education computing; Accountable talk theory; Codebooks; Dialogue analysis; Language model; Large language model; Multimodal Interaction; Multimodal interaction data; Qualitative method; Tutoring dialog analyze; Tutoring dialogues; Teaching","Conference paper","Final","","Scopus","2-s2.0-105043981771"
"Cuclea L.-N.; Badea S.-C.; Dumitran A.-M.","Cuclea, Luca-Nicolae (60604562100); Badea, Sabin-Codruṭ (60604569900); Dumitran, Adrian-Marius (60540698000)","60604562100; 60604569900; 60540698000","RoMathExam: A Longitudinal Dataset of Romanian Math Exams (1895–2025) with a Seven-Decade Core (1957–2025)","2027","Lecture Notes in Computer Science","16582 LNAI","","","64","78","0","10.1007/978-3-032-29755-6_5","https://www.scopus.com/pages/publications/105043767456?origin=resultslist","AI in Education research increasingly relies on authentic, curriculum-grounded assessment data, yet large, well-structured exam corpora remain scarce for many languages and educational systems. We introduce RoMathExam, a longitudinal dataset of Romanian high-school mathematics exams spanning 1895–2025, with a robust standardized core for 1957–2025. The dataset contains 10,592 mathematics problems organized into 600+ complete exam sets across multiple tracks (M1–M4), covering both official national examination sessions and ministry-published training variants. Beyond high-fidelity digitization and a unified JSON schema with traceable provenance, RoMathExam is enriched with curriculum-aligned topic tags and dense text embeddings, enabling variant detection, deduplication, and similarity-based retrieval. To overcome the lack of historical psychometric data, we propose and validate a solution complexity metric as a scalable intrinsic proxy for difficulty. Our evaluation across three frontier reasoning models (GPT-5-mini, DeepSeek-R1, and Qwen3-235B-Thinking) reveals high cross-model synchronization (r>0.72), confirming the metric’s ability to isolate intrinsic mathematical depth from stochastic generation noise. We demonstrate the dataset’s utility through a longitudinal analysis that quantifies a “regime shift” from volatile historical formats to a standardized, algebra-dominant modern curriculum. RoMathExam provides a foundation for reproducible research in difficulty modeling, curriculum analytics, and LLM evaluation in low-resource linguistic contexts. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","AI in Education; Assessment Datasets; Difficulty Modeling; Exam Analytics; Mathematics Education; Topic Tagging","Algebra; Artificial intelligence; Curricula; Information systems; Linguistics; Stochastic models; AI in education; Assessment dataset; Difficulty models; Education research; Educational systems; Exam analytic; High school mathematics; Mathematics education; Romanians; Topic tagging; Stochastic systems","Conference paper","Final","","Scopus","2-s2.0-105043767456"
"Salami M.; Bilancia P.; Pellicciari M.","Salami, Martina (60077560900); Bilancia, Pietro (57195804520); Pellicciari, Marcello (26428392600)","60077560900; 57195804520; 26428392600","An integrated simulation framework enabling flexible robotic palletizing","2027","Robotics and Computer-Integrated Manufacturing","103","","103347","","","0","10.1016/j.rcim.2026.103347","https://www.scopus.com/pages/publications/105041336073?origin=resultslist","Robotic palletizing requires the rapid generation of optimal packing plans and the corresponding robot programs within the tight time constraints imposed by mass customization and factory intralogistics. In this context, while the bin packing problem has been extensively studied in the literature, practical engineering tools that support flexible batch palletizing, from optimal packing definition to validated robot execution, remain limited. In this regard, the present paper proposes an integrated simulation framework that guides engineers in defining an optimal robotic palletizing process through a structured sequence of steps. Starting from the 3D model of an existing palletizing station and its input product mix, the framework, implemented as a set of interconnected Python modules within the RoboDK simulation platform, supports automated generation and assessment of actionable packing layouts, simulation-based verification of the robotic process, and generation of executable robot code that can be automatically transferred to the robotic palletizing cell within a Digital Twin oriented approach. An efficient heuristic method is introduced to solve 3D packing instances for box-type items on standard Europallets. The problem is initially formulated as a sequence of 2D packing problems solved through a Guillotine plus Best Fit strategy, iterating across layers to maximize pallet filling while improving load balancing. The framework is validated across multiple scenarios on an industrially representative case study involving a KUKA palletizing robot, a conveyor feeding system, and two auxiliary buffer pallets. Finally, an instruction streaming module enabling online execution of the validated code on the KUKA controller is presented. Overall, the results confirm the effectiveness of the proposed framework in accelerating process planning, virtual validation and programming activities while maintaining packing quality in realistic industrial scenarios. © 2026 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/","Bin packing; Engineering method; Instruction streaming; RoboDK; Robot simulation framework; Robotic palletizing","Automatic programming; Computer programming languages; Computer software; Digital twin; Optimal systems; Packing; Pallets; Robot programming; Simulation platform; Bin packing; Engineering methods; Instruction streaming; Integrated simulations; Optimal packing; Robodk; Robot simulation framework; Robot simulations; Robotic palletizing; Simulation framework; Heuristic methods","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105041336073"
"Buvilski E.","Buvilski, Eyal (57215186652)","57215186652","From Cyber Diplomacy to Ethical AI Governance: Toward a Framework for Responsible Digital Cooperation","2027","Lecture Notes in Networks and Systems","2024 LNNS","","","622","634","0","10.1007/978-3-032-28379-5_49","https://www.scopus.com/pages/publications/105045094809?origin=resultslist","Cyber diplomacy is a subfield of foreign policy that focuses on creating shared norms, rules, and trust mechanisms between states, corporations, and organizations in global cyberspace. Unlike cybersecurity, which focuses on technological defense and threat mitigation, cyber diplomacy seeks to define responsible behavior and create mutual trust in a borderless digital environment. As artificial intelligence has growing impact on global systems, the need for ethical governance, a common framework of transparency, accountability, and fairness, has become more essential. At the same time, ESG frameworks translate these ethical principles into organizational practice through responsible policies, and through cross-sectoral cooperation. This paper introduces the Responsible Digital Cooperation Framework (RDCF), which integrates cyber diplomacy, ethical AI governance, and ESG principles. The paper spotlights three dimensions: ethical alignment, cross-cultural trust, and strategic cooperation. Together, these dimensions offer a conceptual basis for responsible digital governance based on transparency, collaboration, and shared accountability. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Cross-cultural trust; Cyber diplomacy; Digital cooperation; ESG integration; Ethical AI governance","Artificial intelligence; Cybersecurity; Ethical technology; Network security; Cross-cultural trust; Cybe diplomacy; Cyber security; Cyberspaces; Digital cooperation; ESG integration; Ethical AI governance; Foreign policy; Subfields; Trust mechanism; Government data processing","Conference paper","Final","","Scopus","2-s2.0-105045094809"
"Saafi Y.; Omheni N.; Mannai Z.; Mahmoudi R.","Saafi, Yasmin (60758346700); Omheni, Nizar (56073922000); Mannai, Zayneb (57803033200); Mahmoudi, Ramzi (26326423600)","60758346700; 56073922000; 57803033200; 26326423600","A Critical Survey on the Evaluation of Large Language Models in Clinical Applications","2027","Lecture Notes in Computer Science","16749 LNCS","","","177","181","0","10.1007/978-3-032-30813-9_33","https://www.scopus.com/pages/publications/105045695144?origin=resultslist","LLMs are being implemented for clinical applications, but are met with doubts regarding their reliability, reasonability, and safety. This paper reviews 19 studies on how clinical LLMs are evaluated and is centered around evaluation rather than model performance. We suggest an eight-criterion evaluation framework of technical, reasoning, explainability, and trust components. The findings indicate that the evaluation is poorly structured and is mostly dominated by accuracy, with an evident lack of emphasis on reasoning consistency and trust. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Clinical AI Evaluation; Explainable AI; LLMs; Trustworthy AI","Artificial intelligence; Clinical AI evaluation; Clinical application; Critical surveys; Evaluation framework; Explainable AI; Language model; LLM; Modeling performance; Reasonability; Trustworthy AI; Medical applications","Conference paper","Final","","Scopus","2-s2.0-105045695144"
"Alves R.; Cunha J.; Madeira A.","Alves, Rodrigo (60756294200); Cunha, Juliana (58490284000); Madeira, Alexandre (24436279900)","60756294200; 58490284000; 24436279900","First Steps in a Paraconsistent Transition Systems Toolkit","2027","Lecture Notes in Computer Science","16697 LNCS","","","368","385","0","10.1007/978-3-032-30693-7_24","https://www.scopus.com/pages/publications/105045581365?origin=resultslist","Modelling complex information systems (e.g., combinations of heterogeneous data sources, data from hybrid-system sensors, or medical diagnostic exams) often requires managing inconsistencies in which different decisions and instructions may simultaneously align or conflict. Decision and reasoning methods for such scenarios are a focus of paraconsistent logics, which provide a means of handling inconsistencies without collapsing into triviality, treating them as potentially informative rather than anomalous. Paraconsistent labelled transition systems (PLTS) were introduced as transition structures– parameterised by an underlying lattice– where each transition is characterised by a pair of values: one representing evidence that the transition occurs and the other representing evidence against it. Together with their associated modal logic and process algebra, PLTS provide a formal framework for modelling and reasoning in inconsistent scenarios. In this paper, we present an interactive toolkit that allows users to construct and visualise PLTS, as well as to interpret modal formulae over them. Finally, illustrative examples of the applicability of the framework and the toolkit are explored in fields such as robotics and finance. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Inconsistencies; Paraconsistency; Transition Systems","Hybrid systems; Medical computing; Robotics; Complex information systems; Heterogeneous data sources; Inconsistency; Labelled transition systems; Medical diagnostics; Model complexes; Paraconsistency; Sensors diagnostic; Source data; Transition system; Diagnosis","Conference paper","Final","","Scopus","2-s2.0-105045581365"
"Chouchen M.; Ouni A.; Rajbahadur G.K.; Hassan A.E.","Chouchen, Moataz (57217835480); Ouni, Ali (50761492200); Rajbahadur, Gopi Krishnan (57195249851); Hassan, Ahmed E. (7402686972)","57217835480; 50761492200; 57195249851; 7402686972","Less is more: balancing models performance and complexity for software defects prediction","2027","Empirical Software Engineering","32","1","5","","","0","10.1007/s10664-026-10913-4","https://www.scopus.com/pages/publications/105045092505?origin=resultslist","Software defect prediction helps practitioners prioritize their quality assurance efforts by identifying defective components in their software projects. Recent studies proposed various machine learning and deep learning-based approaches to identify whether a given artifact is defective or non-defective. However, these approaches tend to focus on model performance, which typically leads to inherently complex models that lack transparency, in turn, limiting their adoption by developers in practice. Although various model-agnostic approaches (e.g.,LIME and BreakDown) have been proposed to provide local explanations for such complex models, recent studies show that these approaches are inconsistent and tend to disagree in several cases. In this study, we investigate whether it is possible to learn simple and interpretable software defect prediction models while maintaining prominent predictive performance. To this end, we propose a novel approach, namely CASDP (Complexity Aware software defect prediction), by formulating software defect prediction as a multi-objective search-based problem to find the best trade-off between the model’s performance and complexity. To evaluate our approach, we conducted an empirical study to investigate the trade-off between model performance and complexity. We compare our proposed approach with different state-of-the-art machine learning, deep learning and search-based approaches. The obtained results indicate that CASDP achieves competitive performance scores that reach the state-of-the-art ensemble models (e.g.,Random Forest and Deep Forest) performance while learning models as compact as Fast and Frugal trees models. In conclusion, our findings demonstrate that we can learn simple software defect prediction models with reduced complexity and limited degradation of performance. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.","Explainable software analytics; Genetic programming; Software quality assurance","Computer software selection and evaluation; Deep learning; Defects; Forecasting; Forestry; Genetic algorithms; Learning systems; Prediction models; Quality assurance; Software quality; Complex model; Explainable software analytic; Learn+; Machine-learning; Modeling complexity; Modeling performance; Performance; Simple++; Software defect prediction; Software quality assurance; Economic and social effects; Genetic programming","Article","Final","","Scopus","2-s2.0-105045092505"
"Shao T.; Feijóo García M.; Zhang Y.; Castellanos H.; Salem T.; Magana A.J.; Li T.","Shao, Tianyu (60134296400); Feijóo García, Miguel (57367953100); Zhang, Yi (57222102712); Castellanos, Hugo (58406633000); Salem, Tawfiq (57190141341); Magana, Alejandra J. (25655033800); Li, Tianyi (57208707667)","60134296400; 57367953100; 57222102712; 58406633000; 57190141341; 25655033800; 57208707667","Tracing Prompt-Level Interaction Trajectories to Understand Student Learning with LLMs in Programming Education","2027","Lecture Notes in Computer Science","16585 LNAI","","","260","268","0","10.1007/978-3-032-29770-9_29","https://www.scopus.com/pages/publications/105043967466?origin=resultslist","As Large Language Models (LLMs) become integrated into programming education, understanding student–LLM interaction and its relationship to learning processes and outcomes is essential for designing adaptive AI teammates. We examine end-to-end student–LLM interaction during a time-limited introductory Python assignment, analyzing full chat transcripts and final code submissions from 163 undergraduate students. Our analysis reveals recurring interaction trajectories ranging from full delegation to iterative scaffolding and debugging-oriented collaboration. Student–LLM interaction trajectories provide a lens into learners’ self-regulatory choices and inform the design of instructional scaffolds to support productive and equitable student–AI collaboration. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Generative AI; Learning trajectories; Programming education; Self-regulated learning; Student-AI interaction","Artificial intelligence; Computer software; Education computing; Learning systems; Scaffolds; Generative AI; Language model; Learning outcome; Learning process; Learning trajectories; Model interaction; Programming education; Self-regulated learning; Student learning; Student-AI interaction; Students","Conference paper","Final","","Scopus","2-s2.0-105043967466"
